claim_id,claim_text,lang,claim_date,gold_label,predicted_label,is_correct,small_model_id,small_model_name,small_model_provider,model_key,model_aliases,condition,variant_name,condition_bucket,condition_key,corruption_severity,corruption_family,prompt_id,explanation,error_type,error_message,judge_count,judge_names,judge_overall_sum,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text describes a traditional Swedish farmstead and the daily life of a woman named Lotta, but it does not address the claim about the demographics of a train in Malmö.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text appears to be a descriptive article about a woman named Lotta who lives on an alp in Sweden and takes care of her goats and other animals. There is no mention of a train or a specific demographic of women wearing headscarves.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a visit to an alp in Dalarna, Sweden, where the author meets Lotta and her family, and learns about their way of life and their animals. There is no mention of a train or a photo, so there is not enough evidence to evaluate the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a family's life on a traditional Swedish farm, their daily routines, and their interactions with animals, but it does not provide any information related to the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a family's experience on a traditional Swedish farm, Alm, in the wilderness, where they live and work with animals, but there is no mention of a photo or a train.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
834,Acest videoclip o arată pe Nicole Schwab cerând „lockdown-uri climatice”,ro,2023-08-01,Refuted,Conflicting_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided contains both supporting and contradicting statements regarding the claim that the video shows Nicole Schwab asking for 'lockdown-uri climatice' (climate lockdowns). The claim is not explicitly mentioned in the provided evidence documents, which focus on the Operation Highjump expedition led by Admiral Richard E. Byrd in 1946-1947. While the documents mention Byrd's expedition and its potential connections to conspiracy theories, they do not provide any information about Nicole Schwab or climate lockdowns. Therefore, the verdict is Conflicting_Evidence, as the evidence does not provide enough information to support or refute the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
834,Acest videoclip o arată pe Nicole Schwab cerând „lockdown-uri climatice”,ro,2023-08-01,Refuted,Conflicting_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provides both supporting and contradicting statements regarding the claim. On one hand, the article mentions that Richard E. Byrd's expedition, Operation Highjump, was a large-scale operation with a mission to explore Antarctica, which could be interpreted as a 'lockdown' or a 'climate lockdown' in the sense that it was a significant effort to explore and understand the region. On the other hand, the article also mentions that the expedition's purpose was to explore the region from a scientific and geographical perspective, and that the mission was interrupted prematurely without any clear explanation. This conflicting information makes it difficult to determine whether the claim is supported or refuted.",,,1,['deepseek/deepseek-r1'],17.0,17.0,5.0,5.0,5.0,1.0,1.0
834,Acest videoclip o arată pe Nicole Schwab cerând „lockdown-uri climatice”,ro,2023-08-01,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence provided does not directly address the claim that the video shows Nicole Schwab asking for 'lockdown-uri climatice' (climate lockdowns). The evidence documents appear to be about the Operation Highjump expedition led by Admiral Richard E. Byrd, and its possible connections to conspiracy theories. There is no mention of Nicole Schwab or climate lockdowns in the provided evidence.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
834,Acest videoclip o arată pe Nicole Schwab cerând „lockdown-uri climatice”,ro,2023-08-01,Refuted,Conflicting_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence document mentions that Operation Highjump was a scientific expedition led by Admiral Richard E. Byrd, with the goal of exploring Antarctica's geography, geology, and hydrography, as well as testing the electromagnetic conditions of the area. However, it also mentions that some people believe that the expedition was not scientific, but rather military, and that it was associated with conspiracy theories such as the 'Pământul Gol' (Flat Earth) theory. Additionally, the document quotes Byrd as saying that he wanted to see the Earth beyond the North Pole, which could be interpreted as supporting the Flat Earth theory. Therefore, the evidence is conflicting and does not clearly support or refute the claim.",,,1,['deepseek/deepseek-r1'],17.0,17.0,5.0,5.0,5.0,1.0,1.0
834,Acest videoclip o arată pe Nicole Schwab cerând „lockdown-uri climatice”,ro,2023-08-01,Refuted,Conflicting_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provides both supporting and contradicting statements for the claim. On one hand, the article mentions that Richard E. Byrd's Operation Highjump was a large-scale expedition to Antarctica in 1946-1947, which could be interpreted as a 'lockdown' of the region. Additionally, the article mentions that Byrd's journal and documents were later deposited at the University of Ohio, which could be seen as evidence of a cover-up. On the other hand, the article also states that the expedition's primary goal was to establish a research base in Antarctica, and that the operation was conducted under the auspices of the US Navy. Furthermore, the article mentions that the expedition's findings were later published and made available to the public, which contradicts the idea of a 'lockdown'. Therefore, the evidence is conflicting and does not provide a clear support or refutation of the claim.",,,1,['deepseek/deepseek-r1'],24.0,24.0,5.0,5.0,5.0,4.0,5.0
