claim_id,claim_text,lang,claim_date,gold_label,predicted_label,is_correct,small_model_id,small_model_name,small_model_provider,model_key,model_aliases,condition,variant_name,condition_bucket,condition_key,corruption_severity,corruption_family,prompt_id,explanation,error_type,error_message,judge_count,judge_names,judge_overall_sum,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided in the three documents supports the claim that airport security personnel have been involved in stealing from passengers. Document 1 provides a specific example of a Spirit Airlines gate agent stealing from a passenger's bag, and Document 2 and 3 provide examples of TSA agents stealing from passengers at Miami International Airport. The statements from the airlines and TSA also acknowledge the incidents and take action to address them. The evidence suggests that these incidents are not isolated and that there may be a pattern of misconduct among airport security personnel.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provided in all three documents supports the claim that an airport security personnel (in this case, a TSA agent or a gate employee) stole from a passenger. Document 1 shows a gate employee stealing from a passenger's bag, Document 2 shows TSA agents accused of stealing from passengers, and Document 3 shows surveillance footage of TSA agents stealing from passengers. The consistency of the evidence across multiple sources supports the claim.",,,1,['deepseek/deepseek-r1'],22.0,22.0,5.0,5.0,5.0,3.0,4.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence supports the claim that the video shows a real incident of an airport security personnel stealing from a passenger. Evidence Document 1 provides a clear account of the incident, including the security personnel dumping the passenger's bag contents into the trash and laughing and talking on the phone. The passenger's testimony and the airline's response also support the claim. While Evidence Document 2 and 3 report on separate incidents of TSA agents accused of stealing from passengers, they do not directly contradict the claim in Evidence Document 1.",,,1,['deepseek/deepseek-r1'],22.0,22.0,5.0,5.0,5.0,4.0,3.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence provided consists of multiple news articles and videos that show instances of airport security personnel (TSA agents and a Spirit Airlines gate agent) stealing from passengers. Specifically, Evidence Document 1 shows a Spirit Airlines gate agent stealing from a passenger's bag, and Evidence Documents 2 and 3 show TSA agents stealing from passengers at Miami International Airport. These incidents are corroborated by witness statements and surveillance footage, which supports the claim that airport security personnel have been stealing from passengers.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provided consists of multiple news articles and statements from the airline and TSA, all of which report on incidents of airport security personnel stealing from passengers. The articles provide specific details and quotes from witnesses and officials, including surveillance footage that appears to show TSA agents taking money from passengers' bags. The airline and TSA have also issued statements acknowledging the incidents and taking disciplinary action against the employees involved. This consistent and corroborating evidence supports the claim that the video shows a real incident of an airport security personnel stealing from a passenger.",,,1,['deepseek/deepseek-r1'],21.0,21.0,5.0,5.0,5.0,3.0,3.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text describes a traditional Swedish farmstead and the daily life of a woman named Lotta, but it does not address the claim about the demographics of a train in Malmö.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a woman named Lotta and her life on an alp in Dalarna, Sweden, where she takes care of her goats and other animals, but there is no mention of a photo or a train.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a scene on a Swedish alp, where the author meets a woman named Lotta who takes care of animals on the alp. The text does not provide any information about the claim made in the question.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence provided does not mention anything about a photo showing almost only women with headscarves in a train in Malmö, Sweden. The text describes a family's life on a traditional Swedish farm, their daily routines, and their interactions with animals, but it does not provide any information related to the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text appears to be a descriptive article about a visit to a traditional Swedish farm, but it does not address the claim in question.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
