model_key,condition_key,condition_bucket,corruption_family,severity_values,primary_severity,languages,language_count,judges_seen,n,accuracy,macro_f1,weighted_f1,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
meta-llama/llama-3.1-8b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.5,0.2678571428571429,0.5476190476190477,22.666666666666668,4.5,4.5,4.833333333333333,4.5,4.333333333333333
meta-llama/llama-3.1-8b-instruct,targeted_drop_20,corrupted,targeted,[0.2],0.2,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.1,0.26666666666666666,18.166666666666668,3.8333333333333335,3.8333333333333335,4.5,3.1666666666666665,2.8333333333333335
meta-llama/llama-3.1-8b-instruct,targeted_drop_40,corrupted,targeted,[0.4],0.4,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.1,0.26666666666666666,20.833333333333332,4.166666666666667,4.166666666666667,4.5,4.0,4.0
meta-llama/llama-3.1-8b-instruct,targeted_drop_60,corrupted,targeted,[0.6],0.6,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.1,0.26666666666666666,23.333333333333332,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667,4.666666666666667
meta-llama/llama-3.1-8b-instruct,random_drop_20,corrupted,random,[0.2],0.2,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.1,0.26666666666666666,23.166666666666668,4.833333333333333,4.666666666666667,5.0,4.333333333333333,4.333333333333333
meta-llama/llama-3.1-8b-instruct,random_drop_40,corrupted,random,[0.4],0.4,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.16666666666666666,0.2222222222222222,24.5,5.0,5.0,5.0,4.833333333333333,4.666666666666667
meta-llama/llama-3.1-8b-instruct,random_drop_60,corrupted,random,[0.6],0.6,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.16666666666666666,0.1,0.26666666666666666,23.666666666666668,4.833333333333333,4.666666666666667,5.0,4.5,4.666666666666667
meta-llama/llama-3.1-8b-instruct,replacement_mix_20,corrupted,replace,[0.2],0.2,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.3333333333333333,0.18333333333333335,0.35555555555555557,21.5,4.5,4.333333333333333,4.833333333333333,4.0,3.8333333333333335
meta-llama/llama-3.1-8b-instruct,replacement_mix_40,corrupted,replace,[0.4],0.4,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.3333333333333333,0.20833333333333331,0.38888888888888884,19.166666666666668,4.0,4.0,4.666666666666667,3.3333333333333335,3.1666666666666665
meta-llama/llama-3.1-8b-instruct,replacement_mix_60,corrupted,replace,[0.6],0.6,"de, el, en, ro",4,meta-llama/llama-3.3-70b-instruct,6,0.3333333333333333,0.26666666666666666,0.48888888888888893,18.666666666666668,4.0,4.0,4.5,3.1666666666666665,3.0
