model_key,condition_key,condition_bucket,corruption_family,severity_values,primary_severity,languages,language_count,judges_seen,n,accuracy,macro_f1,weighted_f1,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
meta-llama/llama-3.1-8b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro",4,deepseek/deepseek-r1,107,0.205607476635514,0.10932260228034875,0.30064499144399104,23.523364485981308,4.934579439252336,4.962616822429907,4.981308411214953,4.355140186915888,4.327102803738318
qwen/qwen-2.5-7b-instruct,gold,gold,gold,[0.0],0.0,"de, el, en, ro",4,deepseek/deepseek-r1,107,0.16822429906542055,0.1119047619047619,0.24396973742768135,24.05607476635514,4.953271028037383,4.953271028037383,4.91588785046729,4.607476635514018,4.626168224299065
meta-llama/llama-3.1-8b-instruct,targeted_drop_20,corrupted,targeted,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.21153846153846154,0.10684931506849314,0.3123287671232876,23.778846153846153,4.903846153846154,4.951923076923077,4.961538461538462,4.5,4.461538461538462
qwen/qwen-2.5-7b-instruct,targeted_drop_20,corrupted,targeted,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.08653846153846154,0.04987789987789988,0.1224218089602705,24.182692307692307,4.961538461538462,4.961538461538462,4.961538461538462,4.663461538461538,4.634615384615385
meta-llama/llama-3.1-8b-instruct,targeted_drop_50,corrupted,targeted,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.17307692307692307,0.09315375982042648,0.2531727531727532,24.076923076923077,4.951923076923077,4.951923076923077,4.961538461538462,4.605769230769231,4.605769230769231
qwen/qwen-2.5-7b-instruct,targeted_drop_50,corrupted,targeted,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.07692307692307693,0.04479203697120512,0.10861658782028494,24.557692307692307,4.980769230769231,4.980769230769231,4.980769230769231,4.8076923076923075,4.8076923076923075
meta-llama/llama-3.1-8b-instruct,random_drop_20,corrupted,random,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.23076923076923078,0.12337031900138695,0.3200602795262989,23.778846153846153,4.903846153846154,4.9423076923076925,4.961538461538462,4.5,4.509615384615385
qwen/qwen-2.5-7b-instruct,random_drop_20,corrupted,random,[0.2],0.2,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.1346153846153846,0.09452626025659733,0.19060218087875822,24.403846153846153,5.0,5.0,5.0,4.701923076923077,4.701923076923077
meta-llama/llama-3.1-8b-instruct,random_drop_50,corrupted,random,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.19230769230769232,0.0983884073672806,0.28539097008084,23.875,4.875,4.903846153846154,4.9326923076923075,4.596153846153846,4.5673076923076925
qwen/qwen-2.5-7b-instruct,random_drop_50,corrupted,random,[0.5],0.5,"de, el, en, ro",4,deepseek/deepseek-r1,104,0.10576923076923077,0.061072852482783616,0.14187832826832464,24.51923076923077,5.0,5.0,4.9423076923076925,4.798076923076923,4.778846153846154
