claim_id,claim_text,lang,claim_date,gold_label,predicted_label,is_correct,small_model_id,small_model_name,small_model_provider,model_key,model_aliases,condition,variant_name,condition_bucket,condition_key,corruption_severity,corruption_family,prompt_id,explanation,error_type,error_message,judge_count,judge_names,judge_overall_sum,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
279,Madhya Pradesh CM Mohan Yadav announced that there will be action against private schools which dress their pupils up as Santa Claus for Christmas day.,en,2023-12-28,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The provided evidence document appears to be a list of female names, but it does not contain any information related to the claim about Madhya Pradesh CM Mohan Yadav announcing action against private schools dressing pupils as Santa Claus for Christmas day. There is no mention of Mohan Yadav, Madhya Pradesh, or any related policies or announcements in the provided evidence.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided in both documents supports the claim that airport security personnel have been involved in stealing from passengers. Document 1 provides a specific example of a Spirit Airlines gate agent stealing from a passenger's bag, and Document 2 reports on two TSA agents accused of stealing from passengers at MIA's E checkpoint. Both documents also mention investigations and disciplinary actions taken by the airlines and TSA, further supporting the claim.",,,1,['deepseek/deepseek-r1'],21.0,21.0,5.0,5.0,5.0,3.0,3.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_20,random_drop_20,corrupted,random_drop_20,0.2,random,small_factcheck_v1,"The evidence provided supports the claim that airport security personnel have been involved in stealing from passengers. Evidence Document 1 shows a Spirit Airlines gate agent stealing from a passenger's bag, and Evidence Document 2 reports on two TSA agents accused of stealing from passengers at MIA's E checkpoint. Both incidents involve airport security personnel engaging in misconduct, including theft, and demonstrate a pattern of behavior that supports the claim.",,,1,['deepseek/deepseek-r1'],21.0,21.0,5.0,5.0,5.0,3.0,3.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_50,random_drop_50,corrupted,random_drop_50,0.5,random,small_factcheck_v1,"The evidence provided supports the claim that an airport security personnel stole from a passenger. Evidence Document 1 shows a Spirit Airlines gate agent stealing from a passenger's bag, and Evidence Document 2 shows TSA agents accused of stealing from passengers at MIA's E checkpoint, including removing $600 from a passenger's wallet. Both incidents involve airport security personnel taking items from passengers' belongings, which aligns with the claim.",,,1,['deepseek/deepseek-r1'],21.0,21.0,5.0,5.0,5.0,3.0,3.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_20,targeted_drop_20,corrupted,targeted_drop_20,0.2,targeted,small_factcheck_v1,"The evidence clearly supports the claim that the video shows a real incident of an airport security personnel stealing from a passenger. Evidence Document 1 provides a detailed account of the incident, including the security footage, which shows the employee dumping the passenger's belongings into a trash can and walking away. The passenger, Brooks, also confirms that the employee was stealing from him and that he has received a refund for his flight. While Evidence Document 2 discusses TSA agents accused of stealing from passengers, it does not directly relate to the specific incident shown in the video, and therefore does not contradict the claim.",,,1,['deepseek/deepseek-r1'],23.0,23.0,5.0,5.0,5.0,4.0,4.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_50,targeted_drop_50,corrupted,targeted_drop_50,0.5,targeted,small_factcheck_v1,"The evidence clearly supports the claim that the video shows a real incident of an airport security personnel stealing from a passenger. Evidence Document 1 provides a detailed account of the incident, including quotes from the passenger, Brooks, who describes the theft and the contents of his stolen bag. Additionally, Spirit Airlines' statement confirms that they are investigating the matter and have taken disciplinary action against the vendor's employees. This evidence directly supports the claim, making it clear that the incident is real and not fabricated.",,,1,['deepseek/deepseek-r1'],19.0,19.0,5.0,5.0,5.0,2.0,2.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided does not mention Qatar or the demolition of a McDonald's outlet in Qatar. It discusses McDonald's business strategy, protests, and shareholder meeting in the US, but does not provide any information about Qatar or the claim in question.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_20,random_drop_20,corrupted,random_drop_20,0.2,random,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or a McDonald's outlet being demolished. The article discusses protests and shareholder meetings in the United States, specifically in Illinois and California, and mentions McDonald's business strategy and labor disputes in the US, but does not provide any information about Qatar or the Middle East.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_50,random_drop_50,corrupted,random_drop_50,0.5,random,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or a McDonald's outlet being demolished. The article discusses protests and labor issues in the United States, specifically in Chicago and Los Angeles, and does not provide any information about Qatar or McDonald's presence in the country.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_20,targeted_drop_20,corrupted,targeted_drop_20,0.2,targeted,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or a McDonald's outlet being demolished. The article discusses a shareholder meeting at McDonald's corporate headquarters in Illinois, USA, and protests by fast food workers demanding higher wages. There is no mention of Qatar or any McDonald's outlet being closed or demolished in the country.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
