claim_id,claim_text,lang,claim_date,gold_label,predicted_label,is_correct,small_model_id,small_model_name,small_model_provider,model_key,model_aliases,condition,variant_name,condition_bucket,condition_key,corruption_severity,prompt_id,explanation,error_type,error_message,judge_count,judge_names,judge_overall_sum,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or demolishing a McDonald's outlet. The document appears to be a promotional post for a Muslim Matters website, discussing various Islamic topics and podcasts, but does not contain any information related to the claim.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,small_factcheck_v1,"The provided evidence does not mention anything about Qatar banning McDonald's or a McDonald's outlet being demolished. The document appears to be a promotional page for a Muslim Matters website, discussing various Islamic-related topics and podcasts, but does not contain any information related to the claim.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_50,random_drop_50,corrupted,random_drop_50,0.5,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or a McDonald's outlet being demolished. It appears to be a promotional message for a Muslim website, discussing the importance of consistent good deeds and encouraging people to support the website. There is no relevant information to support or refute the claim.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_70,random_drop_70,corrupted,random_drop_70,0.7,small_factcheck_v1,The evidence provided does not mention Qatar banning McDonald's or a McDonald's outlet being demolished. The article appears to be about a general discussion on boycotting and does not provide any information related to Qatar or McDonald's.,,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,small_factcheck_v1,"The provided evidence document does not mention Qatar, McDonald's, or the demolition of a McDonald's outlet. It appears to be a fundraising appeal for a Muslim website called MuslimMatters, and does not provide any information related to the claim.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_50,targeted_drop_50,corrupted,targeted_drop_50,0.5,small_factcheck_v1,"The provided evidence document does not mention Qatar, McDonald's, or the demolition of a McDonald's outlet. It appears to be a fundraising appeal for a Muslim-related website, discussing the importance of consistent small actions in accordance with the teachings of the Prophet (SAW). There is no relevant information to support or refute the claim.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_70,targeted_drop_70,corrupted,targeted_drop_70,0.7,small_factcheck_v1,"The provided evidence document does not mention Qatar banning McDonald's or a McDonald's outlet being demolished. It appears to be a fundraising appeal for a Muslim Matters website, unrelated to the claim about Qatar and McDonald's.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,small_factcheck_v1,"There is no mention of Qatar banning McDonald's or demolishing a McDonald's outlet in the provided evidence document. The document appears to be a collection of unrelated articles and information, including a mention of a Thrash metal band's album, a request for donations, and a list of Islamic-related content. None of the information provided supports or contradicts the claim about Qatar and McDonald's.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_50,replacement_mix_50,corrupted,replacement_mix_50,0.5,small_factcheck_v1,"The evidence provided does not mention anything about Qatar banning McDonald's or demolishing a McDonald's outlet. The document appears to be a collection of unrelated articles and information, including a personal bio, a fundraising appeal, descriptions of mines and animal anatomy, and a passage about counting. None of the content in the document supports or contradicts the claim about Qatar and McDonald's.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
281,Qatar has banned McDonalds in the country and a McDonald's outlet was demolished.,en,2023-12-29,Refuted,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_70,replacement_mix_70,corrupted,replacement_mix_70,0.7,small_factcheck_v1,"There is no mention of Qatar banning McDonald's or a McDonald's outlet being demolished in the provided evidence document. The document appears to be a collection of unrelated articles and information, none of which relate to the claim about Qatar and McDonald's.",,,1,['llama70B'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
