claim_id,claim_text,lang,claim_date,gold_label,predicted_label,is_correct,small_model_id,small_model_name,small_model_provider,model_key,model_aliases,condition,variant_name,condition_bucket,condition_key,corruption_severity,corruption_family,prompt_id,explanation,error_type,error_message,judge_count,judge_names,judge_overall_sum,avg_judge_overall,avg_political_bias,avg_sociocultural_bias,avg_linguistic_bias,avg_logic_of_reasoning,avg_evidence_usage
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided in the three documents clearly supports the claim that airport security personnel have been involved in stealing from passengers. Document 1 provides a specific example of a Spirit Airlines gate agent stealing from a passenger's bag, and Document 2 and 3 provide evidence of TSA agents stealing from passengers at Miami International Airport. The statements from the airlines and the TSA also acknowledge the incidents and take action to address them, further supporting the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provided in all three documents supports the claim that an airport security personnel (in this case, a TSA agent) stole from a passenger. Document 1 shows a gate employee stealing from a passenger's bag, Document 2 shows TSA agents accused of stealing from passengers at MIA's E checkpoint, and Document 3 shows surveillance footage of TSA agents taking money from passengers' bags at Miami International Airport. The statements from the passengers and the investigation results from the TSA and the police department also support the claim.",,,1,['deepseek/deepseek-r1'],24.0,24.0,5.0,5.0,5.0,4.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence supports the claim that an airport security personnel stole from a passenger. Evidence Document 1 shows a video of a Spirit Airlines employee stealing from a passenger's bag and throwing it in the trash. The employee's actions are caught on camera, and the passenger, Brooks, reports that the bag contained valuable items such as jewelry, a family heirloom, and life-saving medication. The airline has since suspended the employee and issued a refund to Brooks. Evidence Document 2 and 3 also provide additional evidence of TSA agents stealing from passengers at Miami International Airport, with two agents being arrested and charged with grand theft in the third degree. These incidents demonstrate a pattern of behavior by airport security personnel stealing from passengers, supporting the claim.",,,1,['deepseek/deepseek-r1'],21.0,21.0,5.0,5.0,5.0,3.0,3.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence provided in Evidence Document 1 shows a clear incident of an airport security personnel (a Spirit Airlines gate agent) stealing from a passenger's bag, which supports the claim. The video footage shows the agent rifling through the bag, pocketing some of the belongings, and discarding the rest. The passenger, Brooks, also provides a statement expressing his shock and concern about the incident. This evidence clearly supports the claim that the video shows a real incident of an airport security personnel stealing from a passenger.",,,1,['deepseek/deepseek-r1'],24.0,24.0,5.0,5.0,5.0,4.0,5.0
280,The video shows a real incident of an aiport security personnel stealing from a passenger.,en,2023-12-27,Refuted,Supported,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provided in the three documents supports the claim that airport security personnel have been involved in stealing from passengers. Document 1 shows a gate employee stealing from a passenger's bag at Louis Armstrong New Orleans International Airport, and Document 2 and 3 provide additional evidence of TSA agents stealing from passengers at Miami International Airport. The statements from Spirit Airlines and the Transportation Security Administration (TSA) acknowledge the incidents and take disciplinary action, further supporting the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Refuted,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],gold,gold,gold,gold,0.0,gold,small_factcheck_v1,"The evidence provided does not support the claim that a photo shows almost only women with headscarves in a train in Malmö, Sweden. The text describes a scene on a traditional Swedish farm, where a woman named Lotta is taking care of her animals, including goats and cows, and there is no mention of women with headscarves or a train. The text also describes the farm's location in Dalarna, Sweden, which is far from Malmö.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],random_drop_30,random_drop_30,corrupted,random_drop_30,0.3,random,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text appears to be a descriptive article about a woman named Lotta who lives on an alp in Sweden and takes care of her goats and other animals. There is no mention of a train or a specific demographic of women wearing headscarves.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],targeted_drop_30,targeted_drop_30,corrupted,targeted_drop_30,0.3,targeted,small_factcheck_v1,"The evidence provided does not mention anything about the claim 'Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.' The text is about a woman named Lotta who lives on an alp in Dalarna, Sweden, and her daily life with her animals. There is no mention of a photo, a train, or Malmö.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],replacement_mix_30,replacement_mix_30,corrupted,replacement_mix_30,0.3,replace,small_factcheck_v1,"The evidence provided does not contain any information about the claim 'Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.' The text appears to be a descriptive article about a woman named Lotta and her life on a Swedish farm, and does not mention anything about a photo or a train station in Malmö.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
1,"Ein Foto zeige fast nur Frauen mit Kopftuch in einer Bahn in Malmö, Schweden.",de,2024-03-10,Conflicting_Evidence,Not_Enough_Evidence,False,,meta-llama/llama-3.1-8b-instruct,,meta-llama/llama-3.1-8b-instruct,['meta-llama/llama-3.1-8b-instruct'],misleading_edit_30,misleading_edit_30,corrupted,misleading_edit_30,0.3,other,small_factcheck_v1,"The evidence provided does not contain any information about the number of women wearing headscarves in a train in Malmö, Sweden. The text appears to be a descriptive article about a Swedish farm and its owner, Lotta, and her way of life, but it does not provide any relevant data to support or refute the claim.",,,1,['deepseek/deepseek-r1'],25.0,25.0,5.0,5.0,5.0,5.0,5.0
